cluster_id,DSI_fixed_BC,DSI_pca_BC,DSI_entropy_BC,DSI_stability_BC,DSI_stability_QA,DSI_stability_err,DSI_stability_bias,theta_latent_BC,theta_latent_QA,theta_bayes_BC,theta_bayes_QA,theta_bayes_err,DSI_bayesLoad_BC,DSI_bayesLoad_err,DSI_consensus_BC,DSI_consensus_QA,theta_latent_err,p_null_DSI,q_null_DSI,p_null_theta,q_null_theta,p_null_theta_bayes,q_null_theta_bayes,p_null_consensus,q_null_consensus,p_null_physical_proxy,q_null_physical_proxy,p_null_rotation_free,q_null_rotation_free,p_null_profile_shuffle,q_null_profile_shuffle,p_null_combined_conservative,q_null_combined_conservative,null_significance,mixture_class,mix_prob_relaxed,mix_prob_intermediate,mix_prob_disturbed,mix_entropy,rank_primary,rank_MC_sigma,loo_max_abs_delta,data_quality_score,publication_readiness,publication_readiness_class,interpretation_flag,hst_n_bins,gaia_n_bins,vel_n_bins,hst_fit_flag,gaia_fit_flag,vel_fit_flag,n_problematic_profile_fits,lambda_R_gaia,rotation_support_robust,chemistry_available,dominant_component
NGC5053,0.544373352864639,1.44811368427655,0.0886899679502418,2.23075144228694,1.76879982133194,0.629081482095703,0.0424111946991963,1.86863323238411,1.48167028603933,1.76698312808896,1.40107023221563,0.493408877511174,1.30644818562813,0.331581614517861,2.06189609840399,1.63491161826754,0.61310637763948,3.99992000159997e-05,0.0012799744005119,0.0010399792004159,0.0332793344133117,0.0012599748005039,0.0403191936161277,0.0014599708005839,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0003332222592469,0.0106631122959014,FDR_significant,GMM_disturbed,5.96925450546418e-22,7.7510337369115e-18,0.999999999999993,7.49584674885812e-15,1,2.25169225774854,0.317694279828164,0.628716714841468,69.6075442586459,B_usable_with_caution,caution_low_coverage,5,100,3,valid_fit,valid_fit,insufficient_or_failed,1,0.847059377187996,4.68557720361786,1,GradientStrength
NGC5466,0.817001298662528,1.37400457040555,0.795051121185982,1.6494333865575,1.42623481541075,0.635758528622505,0.164968659936561,1.54452172639576,1.33551962588891,1.13211625428378,0.978920173503866,0.460349253302041,1.26256933757786,0.378115996268021,1.94138715393062,1.67868188657555,0.593666504799707,0.0051798964020719,0.0828783424331513,0.0087398252034959,0.135037299254015,0.0507189856202876,0.231858219978458,0.0022999540009199,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0051798964020719,0.0828783424331513,nominal_significant,GMM_disturbed,3.36363069459326e-11,1.61735144043931e-09,0.999999998349011,3.52013397990151e-08,2,2.16490737094799,0.43649210894863,0.74767439061061,69.7315253840959,B_usable_with_caution,robust_null_significant,5,100,6,valid_fit,valid_fit,boundary_or_extreme_fit,1,0.790469126438856,2.01315552178286,1,RotationSupport
NGC2298,1.26779986922048,0.996286871626697,1.46442152912396,1.05329195773252,1.00509672066235,0.661534458199475,0.20193261103851,1.31556299424336,1.25536708187279,1.14082432345323,1.08862388812227,0.409707037943937,0.813536006086562,0.491970172269989,1.89268858686588,1.8060852719214,0.65144324409519,0.0641987160256795,0.410871782564349,0.0284594308113838,0.22767544649107,0.0497990040199196,0.231858219978458,0.0028799424011519,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,0.0054998166727775,0.0351988267057765,0.0003332222592469,0.0003949300850333,0.0641987160256795,0.410871782564349,marginal,GMM_disturbed,0.001142505669578,1.6698805567331398e-78,0.99885749433042,0.0088817933776612,5,3.45952217202488,0.208324656584136,0.910580143418936,69.3984209604722,B_usable_with_caution,robust,6,100,11,valid_fit,boundary_or_extreme_fit,valid_fit,1,0.364408541462084,0.618836137980274,1,GradientStrength
NGC6093,0.767841157693865,1.12655873055442,0.9750440203974,1.28061380456179,1.28061380456179,0.348800479969408,-0.0283133801032021,1.49151530381263,1.49151530381263,1.14362449531573,1.14362449531573,0.299340753624003,0.992333880851088,0.32362644196783,1.79145003860511,1.79145003860511,0.41471077485837,0.0283194336113278,0.275354492910142,0.0126597468050639,0.135037299254015,0.0473990520189596,0.231858219978458,0.0037999240015199,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,0.0010666311122962,0.0113773985311601,0.0003332222592469,0.0003949300850333,0.0283194336113278,0.275354492910142,nominal_significant,GMM_disturbed,4.09321007813527e-05,1.64331142172545e-65,0.999959067899216,0.0004544926704295,3,2.46935424394241,0.4702114213005,1.0,80.6549501748724,A_publication_ready,robust,13,100,14,valid_fit,valid_fit,valid_fit,0,0.489729057307745,1.03668746880436,1,RotationSupport
NGC5024,0.97069065331886,0.652859072871347,1.20624844886935,0.644834183843966,0.644834183843966,0.640614545239948,0.237702909564865,0.96458256696933,0.96458256696933,0.796486542073674,0.796486542073674,0.409752824036195,0.536190785750528,0.469692859947785,1.43365634095119,1.43365634095119,0.695384349337837,0.217115657686846,0.868462630747385,0.106617867642647,0.549509009819804,0.149477010459791,0.597908041839163,0.0161396772064559,0.0889582208355833,3.3332222259258e-05,9.69664647542052e-05,0.0596980100663311,0.238792040265324,0.0003332222592469,0.0003949300850333,0.217115657686846,0.868462630747385,not_significant,GMM_disturbed,0.0346411098439077,5.0092865159929894e-92,0.965358890156091,0.150522206250768,8,3.92064766787672,0.160277290418718,1.0,68.872918233893,B_usable_with_caution,robust,17,100,28,valid_fit,valid_fit,valid_fit,0,0.296119120567051,0.646219942525442,1,GradientStrength
NGC5272,0.349401882143111,0.863815790256417,0.264357252876476,1.22276814960297,1.22276814960297,0.499480162856427,0.0553288770210048,1.25375632309348,1.25375632309348,1.23546103057283,1.23546103057283,0.321360243930794,0.761600672882893,0.360564935119472,1.41253677781572,1.41253677781572,0.514146539236521,0.0344193116137677,0.275354492910142,0.0383192336153277,0.245243095138097,0.0322193556128877,0.231858219978458,0.0166796664066719,0.0889582208355833,3.3332222259258e-05,9.69664647542052e-05,0.0015666144461851,0.012532915569481,0.0003332222592469,0.0003949300850333,0.0344193116137677,0.275354492910142,nominal_significant,GMM_disturbed,3.40568671948494e-06,1.44200223090189e-21,0.99999659431328,4.62834945432411e-05,4,2.65366253034649,0.351487185566152,1.0,78.212626797612,B_usable_with_caution,robust,17,100,35,valid_fit,valid_fit,valid_fit,0,0.148925339683702,0.932501571154197,1,GradientStrength
NGC0104,0.13579610774489,0.657954372552377,0.28547353059366,0.710188749698188,0.710188749698188,0.120932692268487,0.0121414113972447,0.87399335779856,0.87399335779856,0.569507323949958,0.569507323949958,0.179773977636611,0.608276487093305,0.118420022471163,0.987827910314242,0.987827910314242,0.141837377806873,0.183536329273415,0.839023219535609,0.134257314853703,0.549509009819804,0.261854762904742,0.837935241295174,0.0669386612267755,0.278234435311294,3.3332222259258e-05,9.69664647542052e-05,0.0429319022699243,0.196260124662511,0.0003332222592469,0.0003949300850333,0.183536329273415,0.839023219535609,not_significant,GMM_disturbed,0.0148610397211325,3.33066475327671e-43,0.985138960278867,0.0773003619538855,7,1.56794136625883,0.684264444929926,1.0,81.0808585670379,A_publication_ready,robust,28,100,86,valid_fit,valid_fit,valid_fit,0,0.444821494263732,1.10811521442379,1,RotationSupport
NGC1261,0.0938726587682552,0.389597234727965,-0.103249913833981,0.859883893399989,0.859883893399989,0.744424589989044,0.267592729900669,0.867994918434611,0.867994918434611,1.32167235772287,1.32167235772287,0.378165663070046,0.314012176222466,0.550790799469838,0.977565578375756,0.977565578375756,0.73478831354283,0.124997500049999,0.666653333599995,0.137377252454951,0.549509009819804,0.0207795844083118,0.221648900355326,0.0695586088278234,0.278234435311294,3.3332222259258e-05,9.69664647542052e-05,0.0195660144661845,0.104352077152984,0.0003332222592469,0.0003949300850333,0.124997500049999,0.666653333599995,not_significant,GMM_disturbed,0.0022474128490706,1.2417926418667e-13,0.997752587150804,0.0159495541741475,6,3.53485870795666,0.287766969368211,1.0,67.828977331312,B_usable_with_caution,robust,20,100,29,valid_fit,valid_fit,valid_fit,0,0.348852023690255,0.762991229171525,0,GradientStrength
NGC5986,0.396637165731226,0.433190370514837,0.471155018808697,0.466029585424958,0.466029585424958,0.48458314447998,0.101301206887452,0.688303704403094,0.688303704403094,0.474078309500617,0.474078309500617,0.353853427414349,0.316738882709071,0.365615186921938,0.916534709153961,0.916534709153961,0.537539498294279,0.319533609327813,0.996980060398792,0.219655606887862,0.780997713379066,0.324993500129997,0.945435636741811,0.0818383632327353,0.290980847049726,3.3332222259258e-05,9.69664647542052e-05,0.124395853471551,0.398066731108963,0.0003332222592469,0.0003949300850333,0.319533609327813,0.998000066664445,not_significant,GMM_disturbed,0.120973602614477,7.67682481771115e-56,0.879026397385522,0.368860348757253,10,4.37696133843008,0.190216938855389,1.0,71.476539032462,B_usable_with_caution,caution_rank_instability,17,100,26,valid_fit,valid_fit,valid_fit,0,0.258631167477278,0.530225905520474,0,GradientStrength
NGC6341,0.402629510833035,0.408982969435891,0.703101731196443,0.246518558872718,0.246518558872718,0.204196952036682,0.0274677162477292,0.612353342323278,0.612353342323278,0.414129516112042,0.414129516112042,0.255676483663253,0.354774380940558,0.159991188165954,0.876592801943041,0.876592801943041,0.221351867562737,0.4747505049899,0.996980060398792,0.25997480050399,0.831919361612768,0.371172576548469,0.989793537462584,0.0944381112377752,0.302201955960881,3.3332222259258e-05,9.69664647542052e-05,0.247725075830806,0.720654766053253,0.0003332222592469,0.0003949300850333,0.4747505049899,0.998000066664445,not_significant,GMM_disturbed,0.125210961410678,1.22388299226687e-102,0.874789038589321,0.377180469854419,11,2.81878503433907,0.363966015700709,1.0,76.9437013107987,B_usable_with_caution,robust,22,100,33,valid_fit,valid_fit,valid_fit,0,0.276480371717589,0.702323212546756,1,RotationSupport
